country_name,continent,year,happiness,GDP,life_expect,freedom,corruption,total_pop
Afghanistan,Asia,2019,2.375,7.64,53.9,0.394,0.924,37769499
Zimbabwe,Africa,2019,2.694,7.698,53.1,0.632,0.831,15354608
India,Asia,2019,3.249,8.796,60.3,0.876,0.752,1383112050
Rwanda,Africa,2019,3.268,7.692,60.2,0.869,0.168,12835028
Zambia,Africa,2019,3.307,8.123,54.4,0.811,0.832,18380477
Sierra Leone,Africa,2019,3.447,7.412,52.9,0.718,0.874,8046828
Botswana,Africa,2019,3.471,9.624,53.9,0.833,0.792,2499702
Lesotho,Africa,2019,3.512,7.837,44.2,0.716,0.915,2225702
Tanzania,Africa,2019,3.64,7.855,58.5,0.85,0.589,59872579
Malawi,Africa,2019,3.869,7.325,57.1,0.765,0.68,18867337
Lebanon,Asia,2019,4.024,9.751,66,0.447,0.89,5781907
Ethiopia,Africa,2019,4.1,7.688,59.9,0.754,0.732,114120594
Mauritania,Africa,2019,4.153,8.614,59.8,0.628,0.743,4383849
Togo,Africa,2019,4.179,7.64,56.2,0.617,0.737,8243094
Yemen,Asia,2019,4.197,7.448,57.5,0.651,0.798,31546691
Sri Lanka,Asia,2019,4.213,9.521,67,0.824,0.863,21803000
Chad,Africa,2019,4.251,7.354,52,0.537,0.832,16126866
Nigeria,Africa,2019,4.266,8.532,54.4,0.746,0.873,203304492
Tunisia,Africa,2019,4.315,9.315,66.9,0.659,0.889,12049314
Egypt,Africa,2019,4.328,9.322,63,0.774,NA,105618671
Madagascar,Africa,2019,4.339,7.369,57.3,0.55,0.72,27533134
Eswatini,Africa,2019,4.396,9.048,50.1,0.597,0.724,1169613
Myanmar,Asia,2019,4.434,8.483,60.9,0.899,0.682,53040212
Namibia,Africa,2019,4.436,9.211,56.1,0.739,0.879,2446644
Pakistan,Asia,2019,4.443,8.548,56.9,0.685,0.776,223293280
Jordan,Asia,2019,4.453,9.164,67.6,0.726,NA,10698683
State of Palestine,Asia,2019,4.483,8.716,NA,0.653,0.829,NA
Comoros,Africa,2019,4.609,8.099,58.9,0.538,0.762,790986
Kenya,Africa,2019,4.619,8.434,57.7,0.818,0.794,50951450
Ukraine,Europe,2019,4.702,9.458,64.3,0.715,0.885,44386203
Burkina Faso,Africa,2019,4.741,7.654,54.9,0.678,0.729,20951639
Algeria,Africa,2019,4.745,9.361,66.4,0.385,0.741,42705368
Guinea,Africa,2019,4.768,7.842,53.3,0.691,0.756,12877539
Turkiye,Asia,2019,4.872,10.245,68.4,0.631,0.76,83481684
Georgia,Asia,2019,4.892,9.615,64.7,0.811,0.647,3720161
Gabon,Africa,2019,4.914,9.58,57.6,0.736,0.846,2242785
Mozambique,Africa,2019,4.932,7.159,50.4,0.87,0.682,30285595
Cameroon,Africa,2019,4.937,8.231,54.5,0.712,0.817,25782341
Uganda,Africa,2019,4.948,7.719,58.2,0.704,0.826,42949080
Ghana,Africa,2019,4.967,8.584,58,0.787,0.857,31522290
Benin,Africa,2019,4.976,8.057,55.5,0.77,0.698,12290444
Mali,Africa,2019,4.988,7.705,54.6,0.67,0.846,20567424
Albania,Europe,2019,4.995,9.522,69.1,0.777,0.914,2854191
